Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
TES-1_R1_001_val_1	(12.0, 1.0)	(13.0, 17.0)	(14.0, 247.0)	(15.0, 1439.0)	(16.0, 3355.0)	(17.0, 4300.0)	(18.0, 6116.0)	(19.0, 9336.0)	(20.0, 13395.0)	(21.0, 18296.0)	(22.0, 24257.0)	(23.0, 32366.0)	(24.0, 42228.0)	(25.0, 54933.0)	(26.0, 69799.0)	(27.0, 87994.0)	(28.0, 107484.0)	(29.0, 129939.0)	(30.0, 158328.0)	(31.0, 193327.0)	(32.0, 240941.0)	(33.0, 310419.0)	(34.0, 415782.0)	(35.0, 607025.0)	(36.0, 956932.0)	(37.0, 1765361.0)	(38.0, 4174980.0)	(39.0, 28774067.0)	(40.0, 22618031.0)			
TES-1_R2_001	(10.0, 7.0)	(11.0, 132.0)	(12.0, 829.0)	(13.0, 3217.0)	(14.0, 10916.0)	(15.0, 23819.0)	(16.0, 31764.0)	(17.0, 34694.0)	(18.0, 36789.0)	(19.0, 41487.0)	(20.0, 48396.0)	(21.0, 53262.0)	(22.0, 61114.0)	(23.0, 69948.0)	(24.0, 78321.0)	(25.0, 91815.0)	(26.0, 104096.0)	(27.0, 117832.0)	(28.0, 138230.0)	(29.0, 153827.0)	(30.0, 185578.0)	(31.0, 211335.0)	(32.0, 259836.0)	(33.0, 323088.0)	(34.0, 415138.0)	(35.0, 604121.0)	(36.0, 904004.0)	(37.0, 1775407.0)	(38.0, 4728670.0)	(39.0, 40730789.0)	(40.0, 9637806.0)	
TES-1_R2_001_val_2	(9.0, 3.0)	(10.0, 17.0)	(11.0, 116.0)	(12.0, 530.0)	(13.0, 2119.0)	(14.0, 7378.0)	(15.0, 16487.0)	(16.0, 23569.0)	(17.0, 26632.0)	(18.0, 28893.0)	(19.0, 31839.0)	(20.0, 36599.0)	(21.0, 41912.0)	(22.0, 48452.0)	(23.0, 56860.0)	(24.0, 66207.0)	(25.0, 77288.0)	(26.0, 89119.0)	(27.0, 100737.0)	(28.0, 114721.0)	(29.0, 130842.0)	(30.0, 153160.0)	(31.0, 179082.0)	(32.0, 217661.0)	(33.0, 271013.0)	(34.0, 356331.0)	(35.0, 512376.0)	(36.0, 802270.0)	(37.0, 1473600.0)	(38.0, 3528972.0)	(39.0, 27054444.0)	(40.0, 25371466.0)
TES-2_R1_001	(12.0, 2.0)	(13.0, 37.0)	(14.0, 636.0)	(15.0, 3792.0)	(16.0, 8635.0)	(17.0, 13078.0)	(18.0, 19766.0)	(19.0, 30116.0)	(20.0, 41943.0)	(21.0, 54916.0)	(22.0, 72711.0)	(23.0, 92854.0)	(24.0, 119130.0)	(25.0, 152272.0)	(26.0, 189841.0)	(27.0, 249244.0)	(28.0, 317291.0)	(29.0, 453116.0)	(30.0, 672601.0)	(31.0, 1337334.0)	(32.0, 4178884.0)	(33.0, 6991718.0)	(34.0, 5692445.0)	(35.0, 5354213.0)	(36.0, 4722391.0)	(37.0, 4001876.0)	(38.0, 5238287.0)	(39.0, 19829336.0)	(40.0, 5341414.0)			
TES-2_R1_001_val_1	(13.0, 11.0)	(14.0, 184.0)	(15.0, 1215.0)	(16.0, 2831.0)	(17.0, 3773.0)	(18.0, 5583.0)	(19.0, 8307.0)	(20.0, 12460.0)	(21.0, 17772.0)	(22.0, 24341.0)	(23.0, 33374.0)	(24.0, 44168.0)	(25.0, 59158.0)	(26.0, 76419.0)	(27.0, 96122.0)	(28.0, 117725.0)	(29.0, 142651.0)	(30.0, 172463.0)	(31.0, 209098.0)	(32.0, 257426.0)	(33.0, 327053.0)	(34.0, 437593.0)	(35.0, 640968.0)	(36.0, 1016573.0)	(37.0, 1825367.0)	(38.0, 4229999.0)	(39.0, 29968042.0)	(40.0, 25410407.0)				
TES-2_R2_001	(10.0, 1.0)	(11.0, 33.0)	(12.0, 380.0)	(13.0, 1963.0)	(14.0, 8081.0)	(15.0, 19078.0)	(16.0, 26553.0)	(17.0, 29170.0)	(18.0, 32176.0)	(19.0, 36389.0)	(20.0, 42959.0)	(21.0, 48748.0)	(22.0, 55458.0)	(23.0, 64118.0)	(24.0, 72820.0)	(25.0, 86688.0)	(26.0, 99621.0)	(27.0, 114542.0)	(28.0, 136780.0)	(29.0, 151855.0)	(30.0, 184817.0)	(31.0, 211738.0)	(32.0, 264012.0)	(33.0, 328638.0)	(34.0, 424251.0)	(35.0, 625241.0)	(36.0, 938264.0)	(37.0, 1840207.0)	(38.0, 4910102.0)	(39.0, 44128387.0)	(40.0, 10296809.0)	
TES-2_R2_001_val_2	(9.0, 1.0)	(10.0, 14.0)	(11.0, 75.0)	(12.0, 291.0)	(13.0, 1455.0)	(14.0, 5805.0)	(15.0, 14562.0)	(16.0, 21206.0)	(17.0, 24070.0)	(18.0, 26057.0)	(19.0, 28397.0)	(20.0, 33181.0)	(21.0, 38713.0)	(22.0, 45046.0)	(23.0, 52919.0)	(24.0, 62374.0)	(25.0, 73269.0)	(26.0, 85047.0)	(27.0, 97483.0)	(28.0, 111502.0)	(29.0, 128267.0)	(30.0, 149649.0)	(31.0, 176867.0)	(32.0, 214543.0)	(33.0, 268540.0)	(34.0, 354667.0)	(35.0, 513119.0)	(36.0, 805440.0)	(37.0, 1469330.0)	(38.0, 3472546.0)	(39.0, 27583307.0)	(40.0, 29283341.0)
TES-3_R1_001	(12.0, 1.0)	(13.0, 56.0)	(14.0, 1018.0)	(15.0, 5486.0)	(16.0, 13117.0)	(17.0, 20013.0)	(18.0, 29872.0)	(19.0, 43242.0)	(20.0, 58882.0)	(21.0, 75264.0)	(22.0, 97378.0)	(23.0, 120514.0)	(24.0, 150473.0)	(25.0, 188984.0)	(26.0, 229146.0)	(27.0, 294683.0)	(28.0, 364485.0)	(29.0, 480377.0)	(30.0, 661140.0)	(31.0, 979630.0)	(32.0, 1830069.0)	(33.0, 3087883.0)	(34.0, 5388372.0)	(35.0, 7005812.0)	(36.0, 8589261.0)	(37.0, 6879166.0)	(38.0, 6844139.0)	(39.0, 21067479.0)	(40.0, 4636441.0)			
TES-3_R1_001_val_1	(13.0, 24.0)	(14.0, 332.0)	(15.0, 2002.0)	(16.0, 4745.0)	(17.0, 6438.0)	(18.0, 8887.0)	(19.0, 12344.0)	(20.0, 17648.0)	(21.0, 23031.0)	(22.0, 30011.0)	(23.0, 39651.0)	(24.0, 50854.0)	(25.0, 66851.0)	(26.0, 84814.0)	(27.0, 105411.0)	(28.0, 129504.0)	(29.0, 155566.0)	(30.0, 191546.0)	(31.0, 231975.0)	(32.0, 289360.0)	(33.0, 371779.0)	(34.0, 501384.0)	(35.0, 737716.0)	(36.0, 1168600.0)	(37.0, 2153581.0)	(38.0, 5180570.0)	(39.0, 31827431.0)	(40.0, 25687641.0)				
TES-3_R2_001	(10.0, 8.0)	(11.0, 137.0)	(12.0, 781.0)	(13.0, 3568.0)	(14.0, 12034.0)	(15.0, 26427.0)	(16.0, 35592.0)	(17.0, 40299.0)	(18.0, 43271.0)	(19.0, 47995.0)	(20.0, 54598.0)	(21.0, 60205.0)	(22.0, 67667.0)	(23.0, 76535.0)	(24.0, 85598.0)	(25.0, 100857.0)	(26.0, 113512.0)	(27.0, 128809.0)	(28.0, 150586.0)	(29.0, 166104.0)	(30.0, 202010.0)	(31.0, 230622.0)	(32.0, 286297.0)	(33.0, 355715.0)	(34.0, 456698.0)	(35.0, 669340.0)	(36.0, 1007962.0)	(37.0, 1987271.0)	(38.0, 5316986.0)	(39.0, 47102519.0)	(40.0, 10312380.0)	
TES-3_R2_001_val_2	(9.0, 5.0)	(10.0, 35.0)	(11.0, 147.0)	(12.0, 634.0)	(13.0, 2474.0)	(14.0, 8728.0)	(15.0, 19331.0)	(16.0, 27139.0)	(17.0, 30981.0)	(18.0, 33561.0)	(19.0, 36056.0)	(20.0, 40652.0)	(21.0, 46231.0)	(22.0, 53134.0)	(23.0, 61791.0)	(24.0, 71232.0)	(25.0, 82976.0)	(26.0, 94408.0)	(27.0, 107567.0)	(28.0, 122552.0)	(29.0, 138541.0)	(30.0, 162382.0)	(31.0, 192186.0)	(32.0, 232560.0)	(33.0, 293103.0)	(34.0, 387156.0)	(35.0, 559514.0)	(36.0, 884832.0)	(37.0, 1630469.0)	(38.0, 3955715.0)	(39.0, 28865149.0)	(40.0, 30938455.0)
TESmut-1_R1_001	(11.0, 1.0)	(12.0, 3.0)	(13.0, 68.0)	(14.0, 995.0)	(15.0, 5396.0)	(16.0, 12460.0)	(17.0, 19626.0)	(18.0, 29690.0)	(19.0, 41595.0)	(20.0, 55368.0)	(21.0, 69699.0)	(22.0, 88874.0)	(23.0, 108925.0)	(24.0, 133808.0)	(25.0, 167362.0)	(26.0, 200914.0)	(27.0, 254147.0)	(28.0, 310908.0)	(29.0, 404683.0)	(30.0, 552043.0)	(31.0, 785641.0)	(32.0, 1420615.0)	(33.0, 2625830.0)	(34.0, 5385075.0)	(35.0, 7140593.0)	(36.0, 7610088.0)	(37.0, 5947819.0)	(38.0, 6387098.0)	(39.0, 22066894.0)	(40.0, 6688897.0)		
TESmut-1_R1_001_val_1	(11.0, 1.0)	(12.0, 0.0)	(13.0, 16.0)	(14.0, 272.0)	(15.0, 1734.0)	(16.0, 4239.0)	(17.0, 6155.0)	(18.0, 9041.0)	(19.0, 13310.0)	(20.0, 18515.0)	(21.0, 24771.0)	(22.0, 32449.0)	(23.0, 43044.0)	(24.0, 55006.0)	(25.0, 71665.0)	(26.0, 90571.0)	(27.0, 111498.0)	(28.0, 135526.0)	(29.0, 160518.0)	(30.0, 193989.0)	(31.0, 231969.0)	(32.0, 285156.0)	(33.0, 363209.0)	(34.0, 480122.0)	(35.0, 699342.0)	(36.0, 1089140.0)	(37.0, 1977440.0)	(38.0, 4658492.0)	(39.0, 31855621.0)	(40.0, 25823828.0)		
TESmut-1_R2_001	(9.0, 1.0)	(10.0, 6.0)	(11.0, 59.0)	(12.0, 596.0)	(13.0, 3162.0)	(14.0, 12326.0)	(15.0, 28382.0)	(16.0, 38010.0)	(17.0, 41078.0)	(18.0, 44000.0)	(19.0, 48993.0)	(20.0, 54553.0)	(21.0, 59437.0)	(22.0, 67285.0)	(23.0, 76856.0)	(24.0, 85810.0)	(25.0, 100046.0)	(26.0, 113049.0)	(27.0, 128650.0)	(28.0, 149824.0)	(29.0, 165759.0)	(30.0, 200085.0)	(31.0, 228747.0)	(32.0, 282882.0)	(33.0, 350389.0)	(34.0, 450695.0)	(35.0, 656403.0)	(36.0, 983825.0)	(37.0, 1935934.0)	(38.0, 5141343.0)	(39.0, 46250842.0)	(40.0, 10816088.0)
TESmut-1_R2_001_val_2	(9.0, 6.0)	(10.0, 28.0)	(11.0, 102.0)	(12.0, 502.0)	(13.0, 2331.0)	(14.0, 9104.0)	(15.0, 20680.0)	(16.0, 28432.0)	(17.0, 31586.0)	(18.0, 33608.0)	(19.0, 36598.0)	(20.0, 41345.0)	(21.0, 46455.0)	(22.0, 53735.0)	(23.0, 62387.0)	(24.0, 72879.0)	(25.0, 83954.0)	(26.0, 95745.0)	(27.0, 108289.0)	(28.0, 124217.0)	(29.0, 138920.0)	(30.0, 162774.0)	(31.0, 192749.0)	(32.0, 232653.0)	(33.0, 291183.0)	(34.0, 383253.0)	(35.0, 551182.0)	(36.0, 863372.0)	(37.0, 1592309.0)	(38.0, 3846543.0)	(39.0, 29337267.0)	(40.0, 29992451.0)
TESmut-2_R1_001	(12.0, 4.0)	(13.0, 62.0)	(14.0, 750.0)	(15.0, 4346.0)	(16.0, 9982.0)	(17.0, 15062.0)	(18.0, 21867.0)	(19.0, 32690.0)	(20.0, 45223.0)	(21.0, 58395.0)	(22.0, 77067.0)	(23.0, 98374.0)	(24.0, 124192.0)	(25.0, 158535.0)	(26.0, 194219.0)	(27.0, 253935.0)	(28.0, 324581.0)	(29.0, 456987.0)	(30.0, 670662.0)	(31.0, 1183969.0)	(32.0, 3077672.0)	(33.0, 6843941.0)	(34.0, 8386505.0)	(35.0, 5319157.0)	(36.0, 4115933.0)	(37.0, 3829190.0)	(38.0, 5120328.0)	(39.0, 20560121.0)	(40.0, 5668946.0)			
TESmut-2_R1_001_val_1	(13.0, 20.0)	(14.0, 250.0)	(15.0, 1415.0)	(16.0, 3279.0)	(17.0, 4658.0)	(18.0, 6526.0)	(19.0, 9877.0)	(20.0, 14423.0)	(21.0, 20272.0)	(22.0, 26919.0)	(23.0, 36963.0)	(24.0, 47988.0)	(25.0, 63186.0)	(26.0, 79106.0)	(27.0, 98841.0)	(28.0, 121573.0)	(29.0, 145340.0)	(30.0, 177253.0)	(31.0, 215302.0)	(32.0, 268699.0)	(33.0, 340274.0)	(34.0, 454354.0)	(35.0, 666003.0)	(36.0, 1052561.0)	(37.0, 1926688.0)	(38.0, 4518626.0)	(39.0, 30414603.0)	(40.0, 25883180.0)				
TESmut-2_R2_001	(10.0, 6.0)	(11.0, 73.0)	(12.0, 574.0)	(13.0, 2841.0)	(14.0, 10642.0)	(15.0, 23943.0)	(16.0, 31883.0)	(17.0, 35095.0)	(18.0, 37829.0)	(19.0, 42373.0)	(20.0, 49144.0)	(21.0, 54438.0)	(22.0, 62757.0)	(23.0, 72452.0)	(24.0, 81239.0)	(25.0, 96428.0)	(26.0, 109529.0)	(27.0, 125145.0)	(28.0, 147353.0)	(29.0, 163383.0)	(30.0, 199987.0)	(31.0, 229004.0)	(32.0, 284484.0)	(33.0, 355976.0)	(34.0, 462224.0)	(35.0, 677392.0)	(36.0, 1024844.0)	(37.0, 2023350.0)	(38.0, 5547735.0)	(39.0, 45698967.0)	(40.0, 9001605.0)	
TESmut-2_R2_001_val_2	(9.0, 3.0)	(10.0, 25.0)	(11.0, 90.0)	(12.0, 453.0)	(13.0, 1995.0)	(14.0, 7557.0)	(15.0, 17433.0)	(16.0, 24010.0)	(17.0, 27350.0)	(18.0, 29326.0)	(19.0, 31935.0)	(20.0, 36874.0)	(21.0, 42436.0)	(22.0, 49936.0)	(23.0, 58287.0)	(24.0, 67955.0)	(25.0, 79687.0)	(26.0, 91584.0)	(27.0, 103686.0)	(28.0, 118637.0)	(29.0, 135020.0)	(30.0, 159477.0)	(31.0, 187713.0)	(32.0, 228906.0)	(33.0, 289535.0)	(34.0, 385405.0)	(35.0, 559960.0)	(36.0, 882689.0)	(37.0, 1633886.0)	(38.0, 3969099.0)	(39.0, 28524596.0)	(40.0, 28852634.0)
TESmut-3_R1_001	(12.0, 2.0)	(13.0, 60.0)	(14.0, 1165.0)	(15.0, 6455.0)	(16.0, 15571.0)	(17.0, 24300.0)	(18.0, 36592.0)	(19.0, 53582.0)	(20.0, 74017.0)	(21.0, 98882.0)	(22.0, 132778.0)	(23.0, 167787.0)	(24.0, 218181.0)	(25.0, 276481.0)	(26.0, 351426.0)	(27.0, 474372.0)	(28.0, 631617.0)	(29.0, 951527.0)	(30.0, 1484378.0)	(31.0, 3198519.0)	(32.0, 11464927.0)	(33.0, 15609685.0)	(34.0, 9450422.0)	(35.0, 6847319.0)	(36.0, 4983042.0)	(37.0, 3887659.0)	(38.0, 5271494.0)	(39.0, 19650718.0)	(40.0, 6054916.0)			
TESmut-3_R1_001_val_1	(12.0, 1.0)	(13.0, 16.0)	(14.0, 342.0)	(15.0, 2186.0)	(16.0, 5119.0)	(17.0, 6916.0)	(18.0, 9399.0)	(19.0, 13174.0)	(20.0, 18882.0)	(21.0, 25503.0)	(22.0, 34594.0)	(23.0, 46944.0)	(24.0, 61688.0)	(25.0, 80764.0)	(26.0, 102875.0)	(27.0, 128279.0)	(28.0, 158148.0)	(29.0, 190801.0)	(30.0, 233979.0)	(31.0, 288116.0)	(32.0, 358625.0)	(33.0, 452809.0)	(34.0, 611476.0)	(35.0, 891909.0)	(36.0, 1399036.0)	(37.0, 2513160.0)	(38.0, 5947554.0)	(39.0, 37736275.0)	(40.0, 39903804.0)			
TESmut-3_R2_001	(10.0, 2.0)	(11.0, 90.0)	(12.0, 798.0)	(13.0, 4260.0)	(14.0, 17530.0)	(15.0, 41670.0)	(16.0, 57770.0)	(17.0, 63182.0)	(18.0, 67548.0)	(19.0, 74103.0)	(20.0, 83697.0)	(21.0, 92088.0)	(22.0, 104971.0)	(23.0, 120669.0)	(24.0, 134806.0)	(25.0, 158157.0)	(26.0, 176871.0)	(27.0, 200995.0)	(28.0, 234374.0)	(29.0, 258471.0)	(30.0, 315624.0)	(31.0, 358684.0)	(32.0, 445840.0)	(33.0, 550847.0)	(34.0, 708476.0)	(35.0, 1020426.0)	(36.0, 1513466.0)	(37.0, 2927364.0)	(38.0, 8174510.0)	(39.0, 64487172.0)	(40.0, 9023413.0)	
TESmut-3_R2_001_val_2	(9.0, 20.0)	(10.0, 68.0)	(11.0, 260.0)	(12.0, 999.0)	(13.0, 4254.0)	(14.0, 15341.0)	(15.0, 33455.0)	(16.0, 45602.0)	(17.0, 50214.0)	(18.0, 52125.0)	(19.0, 55721.0)	(20.0, 60901.0)	(21.0, 68932.0)	(22.0, 79345.0)	(23.0, 92882.0)	(24.0, 107762.0)	(25.0, 123947.0)	(26.0, 140357.0)	(27.0, 157897.0)	(28.0, 177356.0)	(29.0, 201476.0)	(30.0, 233369.0)	(31.0, 273768.0)	(32.0, 331142.0)	(33.0, 417730.0)	(34.0, 555377.0)	(35.0, 801571.0)	(36.0, 1246452.0)	(37.0, 2239182.0)	(38.0, 5272759.0)	(39.0, 34053052.0)	(40.0, 44329058.0)
